"","DATE","DAILYAverageDryBulbTemp","DAILYPrecip","DAILYAverageStationPressure","DAILYAverageWindSpeed","DAILYAverageDewPointTemp"
"964468","2009-08-07","",0,30.03,3.8,NA
"964522","2009-08-08","",NA,30.15,4.4,NA
"964573","2009-08-09","",0,30.17,2.3,NA
"964598","2009-08-10","",NA,30.09,2.3,NA
"964625","2009-08-11","",NA,29.97,5.3,NA
"964663","2009-08-12","",0.74,29.92,5.8,NA
"964708","2009-08-13","",0.34,30,2.5,NA
"964754","2009-08-14","",0.2,30.05,4.6,NA
"964795","2009-08-15","",0.3,30.09,3.2,NA
"964850","2009-08-16","",NA,30.13,4,NA
"964875","2009-08-17","",0,30.15,4.3,NA
"964931","2009-08-18","",0.01,30.1,2.8,NA
"964967","2009-08-19","",0,30.05,3.2,NA
"964993","2009-08-20","",0.03,29.99,4,NA
"965031","2009-08-21","",NA,29.94,4.8,NA
"965068","2009-08-22","",0.05,29.84,5.5,NA
"965093","2009-08-23","",0,29.84,5.2,NA
"965119","2009-08-24","",0,29.97,2.1,NA
"965156","2009-08-25","",0,30.03,4.3,NA
"965186","2009-08-26","",0,30.05,3.2,NA
"965226","2009-08-27","",0.04,30.02,3.7,NA
"965262","2009-08-28","",0.1,29.9,5.1,NA
"965309","2009-08-29","",0,29.84,5.3,NA
"965336","2009-08-30","",NA,29.91,3.3,NA
"965388","2009-08-31","",0.2,29.96,NA,NA
"965440","2009-09-01","",0,30.05,9,NA
"965467","2009-09-02","",NA,30.04,10.7,NA
"965492","2009-09-03","",0,29.96,7.2,NA
"965517","2009-09-04","",0,29.98,4.3,NA
"965542","2009-09-05","",NA,30.07,4.7,NA
"965567","2009-09-06","",0,30.07,7.7,NA
"965592","2009-09-07","",0,29.97,6.4,NA
"965617","2009-09-08","",0,29.94,4.4,NA
"965673","2009-09-09","",NA,30,2.5,NA
"965698","2009-09-10","",NA,30.06,5.1,NA
"965723","2009-09-11","",0,30.07,5.3,NA
"965754","2009-09-12","",NA,29.95,4.8,NA
"965779","2009-09-13","",0,29.89,4.4,NA
"965829","2009-09-14","",0,29.96,3.6,NA
"965874","2009-09-15","",0,29.96,3.2,NA
"965906","2009-09-16","",NA,29.94,3.9,NA
"965931","2009-09-17","",NA,29.99,5.4,NA
"965970","2009-09-18","",0.95,30.02,4.4,NA
"965997","2009-09-19","",NA,30.06,5.8,NA
"966033","2009-09-20","",0,30.1,7.7,NA
"966060","2009-09-21","",0,30.08,6.9,NA
"966095","2009-09-22","",0,30.05,6.9,NA
"966137","2009-09-23","",0.83,30.04,6.8,NA
"966181","2009-09-24","",0,30.04,3.3,NA
"966231","2009-09-25","",NA,30.02,1.6,NA
"966277","2009-09-26","",0,29.98,4.9,NA
"966330","2009-09-27","",1.24,29.79,6.9,NA
"966355","2009-09-28","",0,29.79,8.9,NA
"966380","2009-09-29","",0,29.85,7.9,NA
"966405","2009-09-30","",0,29.94,NA,NA
"966430","2009-10-01","",0,29.99,2,NA
"966455","2009-10-02","",NA,29.9,2.8,NA
"966480","2009-10-03","",0,29.88,3.6,NA
"966505","2009-10-04","",0,30,1.4,NA
"966550","2009-10-05","",1.12,29.94,6.4,NA
"966586","2009-10-06","",NA,29.93,2.8,NA
"966625","2009-10-07","",0,29.94,7,NA
"966650","2009-10-08","",0,30.08,5,NA
"966686","2009-10-09","",0,29.99,4.4,NA
"966744","2009-10-10","",0.17,29.94,5,NA
"966799","2009-10-11","",0.05,30.07,4.9,NA
"966844","2009-10-12","",0.24,30.1,7.6,NA
"966879","2009-10-13","",0,30.09,4.7,NA
"966929","2009-10-14","",1.2,29.96,6.3,NA
"966970","2009-10-15","",0.06,29.8,4.3,NA
"967032","2009-10-16","",0.44,29.72,6.1,NA
"967074","2009-10-17","",NA,29.9,7.7,NA
"967099","2009-10-18","",0,30.08,9,NA
"967127","2009-10-19","",0,30.23,4.8,NA
"967157","2009-10-20","",0,30.24,1.4,NA
"967193","2009-10-21","",NA,30.2,2.7,NA
"967229","2009-10-22","",NA,30.06,3.3,NA
"967300","2009-10-23","",0.03,29.91,4.9,NA
"967332","2009-10-24","",0.01,29.8,7.8,NA
"967361","2009-10-25","",0,29.95,5.5,NA
"967392","2009-10-26","",0,30.05,7.8,NA
"967435","2009-10-27","",0.33,29.97,5.5,NA
"967471","2009-10-28","",0,29.9,5.9,NA
"967513","2009-10-29","",NA,30.07,5,NA
"967550","2009-10-30","",0,30.08,6,NA
"967596","2009-10-31","",0,29.93,NA,NA
"967636","2009-11-01","",0.01,29.93,8.1,NA
"967674","2009-11-02","",0,30.05,7.3,NA
"967701","2009-11-03","",0,30.11,4,NA
"967756","2009-11-04","",NA,30.19,1.8,NA
"967781","2009-11-05","59",NA,30.18,4.8,NA
"967806","2009-11-06","54",0,30.26,3,NA
"967846","2009-11-07","56",0,30.25,1.7,NA
"967891","2009-11-08","60",NA,30.24,1.6,NA
"967922","2009-11-09","68",0.17,30.24,6.9,NA
"967959","2009-11-10","71",0.48,30.03,7.6,NA
"968016","2009-11-11","62",0.59,29.72,10.8,NA
"968053","2009-11-12","52",NA,29.72,13.7,NA
"968086","2009-11-13","60",0,29.73,9.3,NA
"968135","2009-11-15","64",NA,29.95,0.9,NA
"968197","2009-11-16","62",0.01,29.99,0.9,NA
"968250","2009-11-17","61",0.01,30,4.5,NA
"968283","2009-11-18","66",0,30.02,4.4,NA
"968329","2009-11-19","64",NA,30.04,3.8,NA
"968372","2009-11-20","60",NA,30.04,3.9,NA
"968419","2009-11-21","59",0,30.04,6.6,NA
"968461","2009-11-22","53",0.3,30.04,9.9,NA
"968520","2009-11-23","56",0,30.05,5.7,NA
"968565","2009-11-24","56",0,30.1,3.5,NA
"968601","2009-11-25","54",0.11,30.01,3.9,NA
"968646","2009-11-26","54",0.01,29.88,6.2,NA
"968671","2009-11-27","50",0,29.95,9.3,NA
"968697","2009-11-28","50",0,30.03,3.2,NA
"968722","2009-11-29","58",0,30.05,3,NA
"968747","2009-11-30","58",NA,29.92,NA,NA
"968776","2009-12-01","52",0,30.03,7.7,NA
"968837","2009-12-02","64",3.05,29.79,9.1,NA
"968865","2009-12-03","55",0,29.82,8.7,NA
"968896","2009-12-04","48",0.35,30.03,1.8,NA
"968946","2009-12-05","50",0.49,29.93,6.9,NA
"968972","2009-12-06","46",0,30.23,6.2,NA
"969002","2009-12-07","56",0,30.2,6.4,NA
"969043","2009-12-08","60",0.1,30.1,6.5,NA
"969101","2009-12-09","69",0.22,29.69,8.7,NA
"969128","2009-12-10","56",0.06,29.91,9.1,NA
"969153","2009-12-11","42",0,30.33,8.1,NA
"969187","2009-12-12","42",0.43,30.41,9.5,NA
"969262","2009-12-13","56",1.85,30.13,6.6,NA
"969330","2009-12-14","58",1.06,30.09,1.9,NA
"969366","2009-12-15","68",0.04,30.02,6.4,NA
"969394","2009-12-16","53",0,30.23,10.2,NA
"969419","2009-12-17","45",0,30.27,7.9,NA
"969467","2009-12-18","54",1.93,29.78,9.3,NA
"969500","2009-12-19","48",0,29.65,11.3,NA
"969525","2009-12-20","46",0,29.99,9.2,NA
"969550","2009-12-21","43",0,30.18,4,NA
"969575","2009-12-22","46",0,30.18,2.1,NA
"969626","2009-12-23","46",NA,30.19,2.4,NA
"969657","2009-12-24","50",0.01,30.09,8.3,NA
"969714","2009-12-25","61",0.22,29.81,11.8,NA
"969748","2009-12-26","50",0,29.97,6.8,NA
"969773","2009-12-27","48",0.02,30.06,3.6,NA
"969798","2009-12-28","46",0,30,9.6,NA
"969823","2009-12-29","42",0,30.21,5.7,NA
"969848","2009-12-30","44",0.01,30.32,7.1,NA
"969888","2009-12-31","54",0.22,30.08,NA,NA
"969929","2010-01-01","49",0.03,29.97,8,NA
"969954","2010-01-02","37",0,30.07,8.9,NA
"969979","2010-01-03","32",NA,30.1,5.1,NA
"970004","2010-01-04","34",0,30.04,4.5,NA
"970029","2010-01-05","34",0,30.06,9.7,NA
"970054","2010-01-06","35",0,30.11,6.6,NA
"970079","2010-01-07","38",0,30.1,3.8,NA
"970106","2010-01-08","40",0.02,30.01,9.8,NA
"970131","2010-01-09","30",0,30.19,6.8,NA
"970157","2010-01-10","32",0,30.31,6,NA
"970182","2010-01-11","35",0,30.33,6.1,NA
"970207","2010-01-12","41",0,30.2,6.8,NA
"970232","2010-01-13","38",0,30.31,3.8,NA
"970264","2010-01-14","40",0,30.29,1,NA
"970289","2010-01-15","48",0,30.26,1.2,NA
"970330","2010-01-16","49",1.07,30.15,5,NA
"970383","2010-01-17","62",0.95,29.72,13.5,NA
"970410","2010-01-18","57",0,29.9,6.8,NA
"970435","2010-01-19","54",NA,29.99,4.6,NA
"970460","2010-01-20","56",0,29.95,5.1,NA
"970506","2010-01-21","53",1.13,29.84,6.5,NA
"970544","2010-01-22","48",0,29.79,6.4,NA
"970576","2010-01-23","48",0,30.04,7,NA
"970618","2010-01-24","58",0.07,29.82,12.2,NA
"970659","2010-01-25","60",1.05,29.63,14.8,NA
"970684","2010-01-26","50",0,29.95,11.1,NA
"970709","2010-01-27","43",0,30.22,2.1,NA
"970734","2010-01-28","48",NA,30.23,4.2,NA
"970761","2010-01-29","49",0,30.13,5.8,NA
"970827","2010-01-30","46",1.16,29.83,10.5,NA
"970854","2010-01-31","38",0,30.13,NA,NA
"970879","2010-02-01","42",0,30.26,5.7,NA
"970926","2010-02-02","50",0.7,29.97,8.1,NA
"970961","2010-02-03","49",0,30.09,4.7,NA
"971021","2010-02-04","46",NA,30.24,7.8,NA
"971074","2010-02-05","56",0.61,29.81,13.9,NA
"971111","2010-02-06","50",0.01,29.61,11.7,NA
"971143","2010-02-07","44",0,29.94,5.2,NA
"971172","2010-02-08","43",0,30.07,4.1,NA
"971212","2010-02-09","55",0.1,29.89,7.2,NA
"971237","2010-02-10","44",0,29.82,18.6,NA
"971262","2010-02-11","40",0,29.95,7.2,NA
"971310","2010-02-12","38",0.55,29.84,7.1,NA
"971351","2010-02-13","38",NA,29.82,10,NA
"971376","2010-02-14","43",0,29.97,7.3,NA
"971408","2010-02-15","47",0.1,29.87,7.6,NA
"971433","2010-02-16","40",0,29.91,9.9,NA
"971458","2010-02-17","40",0,29.92,9,NA
"971483","2010-02-18","41",0,30.01,6.9,NA
"971508","2010-02-19","48",0,30.08,4.2,NA
"971592","2010-02-20","48",0,30.11,2,NA
"971663","2010-02-21","51",0,30.07,2,NA
"971721","2010-02-22","52",0.4,29.77,1.9,NA
"971775","2010-02-23","59",0,29.69,4.5,NA
"971805","2010-02-24","48",NA,29.77,7.3,NA
"971830","2010-02-25","40",0,29.86,14.5,NA
"971855","2010-02-26","44",0,29.91,10.3,NA
"971880","2010-02-27","45",0,29.78,9.1,NA
"971905","2010-02-28","47",0,29.82,NA,NA
"971930","2010-03-01","44",0,29.98,4.5,NA
"971977","2010-03-02","44",0.06,29.64,8.7,NA
"972014","2010-03-03","43",0,29.72,8.8,NA
"972039","2010-03-04","43",0,29.91,9.2,NA
"972064","2010-03-05","45",0,30.06,6.2,NA
"972089","2010-03-06","46",0,30.18,3.4,NA
"972115","2010-03-07","46",0,30.18,4.1,NA
"972140","2010-03-08","54",0,30.06,4.5,NA
"972165","2010-03-09","58",0,29.99,5.4,NA
"972190","2010-03-10","60",0.01,29.95,3.8,NA
"972232","2010-03-11","58",0.96,29.81,5.9,NA
"972288","2010-03-12","62",0.29,29.61,5.2,NA
"972321","2010-03-13","60",0.01,29.5,9.3,NA
"972346","2010-03-14","53",0,29.64,11.3,NA
"972371","2010-03-15","56",0,29.75,8.2,NA
"972396","2010-03-16","56",0,29.94,4.9,NA
"972430","2010-03-17","50",0.03,29.99,4.5,NA
"972456","2010-03-18","54",NA,29.85,5.6,NA
"972481","2010-03-19","58",0,29.94,3.6,NA
"972506","2010-03-20","60",0,30.05,5.9,NA
"972544","2010-03-21","58",0.15,29.95,8,NA
"972570","2010-03-22","54",0,29.83,9.1,NA
"972595","2010-03-23","56",0,29.91,9.4,NA
"972620","2010-03-24","60",0,30.05,4.1,NA
"972663","2010-03-25","62",NA,29.96,8,NA
"972690","2010-03-26","64",0,29.74,10.8,NA
"972718","2010-03-27","56",0,30.12,9.7,NA
"972756","2010-03-28","63",0.23,29.98,10.4,NA
"972800","2010-03-29","65",0.57,29.65,7.8,NA
"972825","2010-03-30","62",0,29.81,8.1,NA
"972850","2010-03-31","64",0,29.98,NA,NA
"972875","2010-04-01","66",0,30.05,3.5,NA
"972900","2010-04-02","66",0,30.06,3.5,NA
"972938","2010-04-03","64",NA,30.07,5.4,NA
"972985","2010-04-04","68",NA,30.11,6.1,NA
"973011","2010-04-05","72",NA,30.15,6.3,NA
"973036","2010-04-06","71",0,30.08,6.9,NA
"973061","2010-04-07","72",0,30,8.6,NA
"973094","2010-04-08","72",1.2,29.87,8.8,NA
"973122","2010-04-09","62",NA,29.91,9.5,NA
"973147","2010-04-10","59",0,30.24,5.6,NA
"973181","2010-04-11","62",NA,30.27,3.7,NA
"973217","2010-04-12","63",NA,30.21,6.9,NA
"973251","2010-04-13","64",NA,30.26,NA,NA
"973286","2010-04-14","64",NA,30.33,5.8,NA
"973316","2010-04-15","64",0,30.34,5.2,NA
"973364","2010-04-16","66",NA,30.16,4.1,NA
"973389","2010-04-17","72",0,29.91,8.1,NA
"973414","2010-04-18","64",0,29.9,7.2,NA
"973440","2010-04-19","61",0,29.99,4.3,NA
"973469","2010-04-20","62",0.02,29.96,3.5,NA
"973503","2010-04-21","66",0.05,29.8,6.6,NA
"973528","2010-04-22","68",0,29.85,6.2,NA
"973553","2010-04-23","71",0,29.92,5.6,NA
"973578","2010-04-24","68",0.06,29.93,4.6,NA
"973625","2010-04-25","73",0.1,29.66,10.7,NA
"973650","2010-04-26","74",0,29.47,13.4,NA
"973676","2010-04-27","66",0,29.6,13.5,NA
"973702","2010-04-28","62",0,29.87,7.6,NA
"973728","2010-04-29","63",0,30.01,3.7,NA
"973758","2010-04-30","69",NA,30,NA,NA
"973796","2010-05-01","78",0,29.96,7.9,NA
"973828","2010-05-02","80",0,29.98,10,NA
"973860","2010-05-03","78",0,29.97,5.7,NA
"973899","2010-05-04","69",0.55,29.92,4.2,NA
"973956","2010-05-05","72",0,29.92,2.4,NA
"974000","2010-05-06","78",0,29.92,3.3,NA
"974031","2010-05-07","80",NA,29.94,3.6,NA
"974056","2010-05-08","82",0,29.89,10.5,NA
"974081","2010-05-09","68",0,30.09,6.7,NA
"974110","2010-05-10","65",0,30.21,7.6,NA
"974135","2010-05-11","74",0,30.22,8.7,NA
"974160","2010-05-12","76",0,30.18,6.4,NA
"974192","2010-05-13","75",0,30.19,3.7,NA
"974225","2010-05-14","74",NA,30.23,4,NA
"974256","2010-05-15","76",0,30.16,4.3,NA
"974297","2010-05-16","76",0,30.04,5.7,NA
"974344","2010-05-17","76",0.71,29.94,4.2,NA
"974378","2010-05-18","78",0,29.84,6.2,NA
"974403","2010-05-19","78",0,29.84,5.7,NA
"974428","2010-05-20","72",0,29.95,4.3,NA
"974454","2010-05-21","76",NA,30.05,5.2,NA
"974497","2010-05-22","77",0.11,30.02,3.3,NA
"974556","2010-05-23","78",1.34,30,3.8,NA
"974614","2010-05-24","74",0.53,29.96,6.5,NA
"974650","2010-05-25","75",0.06,29.98,9.4,NA
"974675","2010-05-26","76",0,29.85,7.2,NA
"974700","2010-05-27","78",0,29.77,3.9,NA
"974725","2010-05-28","78",0,29.78,4.5,NA
"974758","2010-05-29","77",0,29.87,6.7,NA
"974791","2010-05-30","79",0.03,29.96,5.8,NA
"974851","2010-05-31","78",0.1,30.01,NA,NA
"974902","2010-06-01","82",0.01,29.94,4.5,NA
"974932","2010-06-02","82",0.06,29.86,4.8,NA
"974966","2010-06-03","80",0.32,29.85,4.1,NA
"975030","2010-06-04","80",0.05,29.88,3,NA
"975076","2010-06-05","83",0.86,29.91,7.1,NA
"975101","2010-06-06","84",0.02,29.84,9,NA
"975128","2010-06-07","78",0,29.86,6.3,NA
"975158","2010-06-08","78",NA,30.03,2.6,NA
"975183","2010-06-09","80",0,30.07,5.5,NA
"975210","2010-06-10","84",0,29.99,6.3,NA
"975237","2010-06-11","84",0,30.01,2.7,NA
