,DATE,DAILYAverageDryBulbTemp,DAILYPrecip,DAILYAverageStationPressure,DAILYAverageWindSpeed,DAILYAverageDewPointTemp
246043,1-Mar-09,48,1.5,29.78,8.1,45
246095,2-Mar-09,37,0.01,29.85,7.8,29
246122,3-Mar-09,29,0,30.29,7.6,13
246147,4-Mar-09,32,0,30.45,4.1,17
246172,5-Mar-09,36,0,30.48,3.5,27
246197,6-Mar-09,51,0,30.34,9.6,46
246222,7-Mar-09,54,0,30.21,11.6,49
246247,8-Mar-09,56,0,30.07,13.4,51
246272,9-Mar-09,62,0,29.98,11.8,50
246299,10-Mar-09,54,0,30.24,7.9,45
246339,11-Mar-09,56,T,30.16,8.4,55
246373,12-Mar-09,52,T,30.31,14.2,37
246401,13-Mar-09,48,T,30.29,13.5,42
246438,14-Mar-09,48,T,30.21,9.9,45
246505,15-Mar-09,51,0.08,30.13,4.6,49
246551,16-Mar-09,50,0.51,30.16,6.9,48
246581,17-Mar-09,48,0.21,30.12,10.4,46
246615,18-Mar-09,52,0,30.26,5.6,44
246649,19-Mar-09,54,0,30.08,6.1,49
246686,20-Mar-09,48,0.01,30.19,12.8,39
246711,21-Mar-09,46,0,30.42,12.6,33
246738,22-Mar-09,45,0,30.37,6.5,33
246763,23-Mar-09,44,0,30.3,6.7,33
246788,24-Mar-09,41,0,30.4,10.2,24
246813,25-Mar-09,45,T,30.35,8.2,36
246867,26-Mar-09,54,0.21,30.12,8,50
246910,27-Mar-09,59,T,29.97,7.8,55
246992,28-Mar-09,60,0.37,29.87,9.3,58
247025,29-Mar-09,62,0.09,29.62,18.4,58
247050,30-Mar-09,54,0,29.86,10.7,39
247075,31-Mar-09,52,0,30.12,7.1,42
247108,1-Apr-09,64,0.01,30.02,11.2,55
247151,2-Apr-09,63,0.15,29.88,9.2,60
247183,3-Apr-09,66,T,29.51,17.1,60
247208,4-Apr-09,62,0,29.81,11.6,45
247233,5-Apr-09,63,0,29.91,8.6,49
247270,6-Apr-09,64,0.15,29.51,17.3,60
247295,7-Apr-09,54,T,29.59,14.2,31
247320,8-Apr-09,50,0,29.87,14,31
247345,9-Apr-09,58,0.09,29.91,7.1,46
247370,10-Apr-09,62,0,30.05,9.8,58
247415,11-Apr-09,62,0.35,29.83,13.6,55
247443,12-Apr-09,47,0,30.15,7.8,35
247469,13-Apr-09,50,T,30.19,8.3,38
247531,14-Apr-09,62,1.28,29.86,10.4,59
247575,15-Apr-09,54,0.44,29.8,7.9,52
247619,16-Apr-09,49,T,30.14,13.8,41
247644,17-Apr-09,54,0,30.3,7.3,39
247669,18-Apr-09,61,0,30.15,10.6,49
247694,19-Apr-09,63,0,30.04,10.9,56
247729,20-Apr-09,64,0.15,29.89,11.9,62
247762,21-Apr-09,66,T,29.78,11.3,59
247791,22-Apr-09,57,0.46,29.83,13.3,44
247816,23-Apr-09,64,0,30.08,10,46
247841,24-Apr-09,66,T,30.28,7.7,61
247866,25-Apr-09,69,0,30.34,9.6,62
247891,26-Apr-09,69,0,30.35,9.5,64
247916,27-Apr-09,68,T,30.41,6.8,63
247941,28-Apr-09,68,T,30.38,6.9,63
247967,29-Apr-09,68,0,30.3,8.7,61
247998,30-Apr-09,65,0,30.31,5.1,58
248025,1-May-09,72,0,30.17,12.2,64
248050,2-May-09,72,T,30.01,13.9,65
248079,3-May-09,72,0,29.98,14.3,67
248108,4-May-09,72,0.02,30.01,14.1,67
248143,5-May-09,70,0.38,30.06,9,65
248170,6-May-09,73,0,30.08,9.7,68
248201,7-May-09,72,0.05,29.96,13.8,67
248226,8-May-09,72,T,29.9,10.6,67
248256,9-May-09,73,0,29.88,17.4,67
248281,10-May-09,70,0,29.98,8.9,58
248324,11-May-09,62,0.28,30.03,11.6,56
248350,12-May-09,62,0,30.16,7,50
248375,13-May-09,65,0,30.31,9.9,54
248404,14-May-09,72,0,30.29,16.7,60
248455,15-May-09,72,2.08,30.24,7.8,67
248490,16-May-09,72,0.24,30.14,11.9,67
248532,17-May-09,66,0.67,30,13,63
248568,18-May-09,52,0.61,30.15,16.1,45
248595,19-May-09,58,0,30.29,15,48
248622,20-May-09,62,0,30.32,11,55
248647,21-May-09,68,0,30.28,6.4,58
248680,22-May-09,70,0,30.21,4,63
248709,23-May-09,72,T,30.17,5.9,65
248738,24-May-09,74,0.04,30.11,7.3,67
248775,25-May-09,72,0.25,30.04,5.5,66
248801,26-May-09,76,0.01,30.02,7.5,66
248849,27-May-09,74,0.05,29.87,6.2,69
248884,28-May-09,74,0,29.84,6.7,69
248915,29-May-09,76,T,29.8,12.4,70
248945,30-May-09,71,T,29.8,5.7,65
248985,31-May-09,70,T,29.87,6,67
249014,1-Jun-09,76,0,30.03,6.1,67
249039,2-Jun-09,76,0,30.08,7.5,70
249064,3-Jun-09,77,0,30.05,10,69
249093,4-Jun-09,78,T,29.95,10.2,70
249128,5-Jun-09,76,0.27,29.81,16.3,70
249166,6-Jun-09,68,0.01,29.92,7.3,63
249193,7-Jun-09,70,0,30.03,5.3,64
249222,8-Jun-09,74,T,29.99,4.6,69
249252,9-Jun-09,77,0.02,29.93,6.7,71
249277,10-Jun-09,74,0,29.91,4.8,64
249302,11-Jun-09,76,0,29.88,5.4,70
249335,12-Jun-09,78,0.11,29.82,11.3,72
249363,13-Jun-09,78,T,29.83,4.3,72
249403,14-Jun-09,76,0,29.89,5,68
249428,15-Jun-09,73,0,29.98,5.9,64
249454,16-Jun-09,73,0.18,30.04,7.1,66
249479,17-Jun-09,76,0,30.07,11.6,64
249506,18-Jun-09,78,0.03,29.94,8.5,69
249538,19-Jun-09,79,0,29.83,7,72
249563,20-Jun-09,80,0,29.73,10.2,74
249590,21-Jun-09,78,0.07,29.61,9.4,68
249620,22-Jun-09,74,0.06,29.65,6.4,64
249650,23-Jun-09,70,0.5,29.73,6.7,62
249677,24-Jun-09,72,0.03,29.8,4.2,NA
249703,25-Jun-09,78,0,29.83,6,70
249733,26-Jun-09,79,0.06,NA,10.1,NA
249761,27-Jun-09,80,0,29.74,6,70
249786,28-Jun-09,80,0,29.71,6.1,66
249817,29-Jun-09,82,0.1,29.61,7.3,72
249852,30-Jun-09,80,0,29.6,4.7,75
249880,1-Jul-09,82,0,29.7,8.8,75
249905,2-Jul-09,83,0,29.8,9.7,76
249933,3-Jul-09,79,0,29.91,5.6,68
249958,4-Jul-09,80,0,29.98,7.4,63
249983,5-Jul-09,80,0.06,29.91,10.6,72
250032,6-Jul-09,76,0.14,29.77,9.4,71
250057,7-Jul-09,72,0,29.78,6,64
250082,8-Jul-09,74,0,29.86,3.6,63
250107,9-Jul-09,74,0,30.03,9.2,64
250142,10-Jul-09,72,0,30.21,7.5,60
250169,11-Jul-09,71,0,30.2,5.6,61
250194,12-Jul-09,80,0,30.03,15,69
250230,13-Jul-09,76,0.44,29.93,8.4,70
250261,14-Jul-09,76,0,30.02,5.4,70
250286,15-Jul-09,77,0,30.12,5.9,67
250311,16-Jul-09,78,T,29.99,9.9,71
250357,17-Jul-09,79,0.51,29.85,10.3,76
250392,18-Jul-09,78,0.23,29.89,9.1,73
250427,19-Jul-09,78,0.15,30.04,4,72
250456,20-Jul-09,78,0.02,30.03,4.3,70
250491,21-Jul-09,78,0.04,30.06,4.9,69
250522,22-Jul-09,79,0.31,30.09,6.8,71
250567,23-Jul-09,76,0.6,29.92,8.4,72
250605,24-Jul-09,78,0.31,29.92,9.7,73
250646,25-Jul-09,77,0.33,29.98,7.8,74
250672,26-Jul-09,82,0,30,12.9,77
250699,27-Jul-09,82,0,30.04,13.4,75
250724,28-Jul-09,80,0.05,30.01,11.2,75
250753,29-Jul-09,82,0,29.98,13.3,76
250780,30-Jul-09,82,0,29.98,13.4,75
250805,31-Jul-09,82,0,30.04,13.1,76
250836,1-Aug-09,80,0.06,30.08,10.4,75
250880,2-Aug-09,78,0.49,30.01,11.1,74
250934,3-Aug-09,78,0.6,30,6.2,74
250981,4-Aug-09,79,0.14,30,6.2,75
251009,5-Aug-09,81,0,29.99,11,76
251036,6-Aug-09,80,0.03,29.95,9.8,74
251068,7-Aug-09,77,0,30.08,6,63
251093,8-Aug-09,78,0,30.21,5.5,67
251118,9-Aug-09,82,0,30.16,11.9,72
251143,10-Aug-09,84,0,30.03,10.3,74
251169,11-Aug-09,82,0,29.94,10.7,75
251212,12-Aug-09,76,0.27,29.93,8.9,73
251254,13-Aug-09,78,0.51,30.03,2.8,73
251279,14-Aug-09,76,0.12,30.12,2.5,72
251317,15-Aug-09,79,0.93,30.12,3.6,71
251347,16-Aug-09,78,0,30.16,3.1,72
251376,17-Aug-09,78,0,30.19,3.5,70
251401,18-Aug-09,80,0,30.14,7.9,74
251430,19-Aug-09,82,0,30.08,9.4,75
251455,20-Aug-09,84,0,30.03,8.3,77
251480,21-Aug-09,84,0,29.99,8.4,77
251516,22-Aug-09,83,T,29.83,6,75
251560,23-Aug-09,78,0.39,29.87,8.6,74
251598,24-Aug-09,79,0.48,30.02,7,73
251623,25-Aug-09,78,0,30.09,3,73
251650,26-Aug-09,79,0,30.1,5,73
251677,27-Aug-09,82,0,30.07,6,74
251715,28-Aug-09,82,0.44,29.99,9.3,75
251768,29-Aug-09,82,0.29,29.77,7.7,75
251800,30-Aug-09,81,0.23,29.92,7.4,75
251842,31-Aug-09,80,0.02,30,6.1,72
251870,1-Sep-09,76,T,30.08,11.8,66
251907,2-Sep-09,76,T,30.08,11.7,68
251971,3-Sep-09,76,0.01,29.95,8.7,71
252012,4-Sep-09,75,0,29.99,4.6,68
252037,5-Sep-09,77,0,30.1,6.4,66
252062,6-Sep-09,76,T,30.15,7.8,69
252115,7-Sep-09,72,3.37,30.04,7.6,71
252191,8-Sep-09,74,5.5,29.84,10.3,70
252241,9-Sep-09,74,T,30,9.2,65
252308,10-Sep-09,73,0.09,30.04,9.6,67
252337,11-Sep-09,69,0,30.08,6.5,62
252362,12-Sep-09,70,0,29.98,5.2,66
252387,13-Sep-09,73,0,29.93,6.2,64
252412,14-Sep-09,73,0,29.98,3.2,63
252437,15-Sep-09,73,0,29.99,3.6,64
252462,16-Sep-09,76,0,29.99,5.3,65
252509,17-Sep-09,76,0,30.03,9.2,68
252534,18-Sep-09,76,T,30.07,5.2,69
252559,19-Sep-09,75,0,30.13,8.3,67
252584,20-Sep-09,75,0,30.22,7.4,64
252615,21-Sep-09,74,0.06,30.18,6.9,67
252655,22-Sep-09,80,0.66,30.16,7.4,73
252684,23-Sep-09,79,T,30.15,4.7,71
252709,24-Sep-09,76,0,30.07,4.9,71
252757,25-Sep-09,76,0.01,30.05,10.1,69
252784,26-Sep-09,74,0.18,30.08,16,63
252845,27-Sep-09,76,3.29,29.75,10.1,71
252871,28-Sep-09,74,0.01,29.71,13.9,66
252896,29-Sep-09,70,0,29.76,9.2,49
252921,30-Sep-09,65,0,29.91,5.1,51
252946,1-Oct-09,65,0,30.01,3.1,51
252971,2-Oct-09,68,T,29.98,10.4,59
253002,3-Oct-09,73,0.81,29.88,7.4,67
253027,4-Oct-09,72,0,29.95,7.5,58
253052,5-Oct-09,68,0.06,30.05,4.6,55
253096,6-Oct-09,70,0.11,29.92,5.1,67
253131,7-Oct-09,73,0,29.82,13.4,65
253156,8-Oct-09,64,0,30.11,5.6,51
253183,9-Oct-09,70,0,30.04,11.5,67
253217,10-Oct-09,76,0.02,29.93,11.7,71
253244,11-Oct-09,68,0,30.13,10,57
253280,12-Oct-09,71,0.26,30.16,7.7,64
253316,13-Oct-09,66,0.06,30.06,5,60
253344,14-Oct-09,63,0.69,30.07,9.8,54
253405,15-Oct-09,67,0.51,29.74,12.9,63
253435,16-Oct-09,60,0,29.72,7.4,57
253475,17-Oct-09,53,T,29.86,7.3,51
253512,18-Oct-09,49,0.09,29.94,11.3,47
253544,19-Oct-09,54,0,30.14,7.5,43
253569,20-Oct-09,53,0,30.25,1.9,40
253594,21-Oct-09,56,0,30.23,2.6,48
253619,22-Oct-09,62,0,30.13,2.2,54
253644,23-Oct-09,68,T,30.03,7.7,63
253690,24-Oct-09,73,1,29.88,13.2,69
253726,25-Oct-09,64,T,29.97,10,60
253790,26-Oct-09,67,1.12,30.09,10.7,66
253846,27-Oct-09,67,1.37,30.01,9,63
253879,28-Oct-09,68,0.11,29.88,11.6,69
253912,29-Oct-09,62,0,30.11,9.6,57
253944,30-Oct-09,68,0,30.15,8.9,61
253971,31-Oct-09,72,0,30.01,8.7,68
254008,1-Nov-09,67,0.24,29.93,11,64
254052,2-Nov-09,60,0.04,29.99,10.4,58
254088,3-Nov-09,57,0.03,30.08,6,52
254113,4-Nov-09,60,0,30.23,6,51
254138,5-Nov-09,59,0,30.13,5.3,50
254163,6-Nov-09,51,0,30.26,6.9,37
254188,7-Nov-09,50,0,30.31,2.7,39
254213,8-Nov-09,58,0,30.28,3.1,51
254238,9-Nov-09,62,0,30.36,4.4,55
254274,10-Nov-09,66,0.46,30.21,4.3,63
254342,11-Nov-09,64,2.93,29.89,10.2,63
254419,12-Nov-09,66,0.8,29.44,5.9,NA
254497,13-Nov-09,59,0.63,29.46,9.1,59
254537,14-Nov-09,56,0.01,29.74,8.9,57
254576,15-Nov-09,54,0.03,29.92,4,54
254601,16-Nov-09,57,T,30,4.7,56
254628,17-Nov-09,58,0.01,30.08,9,55
254653,18-Nov-09,66,0.04,30.14,10.8,61
254691,19-Nov-09,67,0.38,30.09,8.4,63
254737,20-Nov-09,62,0.16,30.04,8.4,56
254764,21-Nov-09,57,0,30.08,11,46
254789,22-Nov-09,58,0.04,30.13,9.3,50
254819,23-Nov-09,66,0.16,30.07,7.1,60
254853,24-Nov-09,58,0.03,30.04,8.4,56
254895,25-Nov-09,55,0.22,30.02,4.5,53
254930,26-Nov-09,54,0.17,29.82,4.6,52
254962,27-Nov-09,50,0,29.72,16.6,36
254987,28-Nov-09,48,0,29.95,9.7,34
255012,29-Nov-09,54,0,30.03,9.9,46
255040,30-Nov-09,60,0.11,29.85,17.3,52
255067,1-Dec-09,50,0.02,30.07,6.5,38
255103,2-Dec-09,62,0.31,30,21.5,57
255142,3-Dec-09,65,0.52,29.76,14.7,58
255168,4-Dec-09,60,0.11,30.05,7.2,52
255231,5-Dec-09,56,1.13,29.84,10.1,55
255263,6-Dec-09,44,0,30.23,7.6,35
255290,7-Dec-09,53,T,30.26,5.3,46
255326,8-Dec-09,58,0.18,30.18,11.5,48
255385,9-Dec-09,66,0.26,29.67,25.4,64
255415,10-Dec-09,53,T,29.76,12.6,NA
255440,11-Dec-09,40,0,30.28,9.8,17
255465,12-Dec-09,46,0,30.54,7.3,29
255518,13-Dec-09,60,0.33,30.19,18.1,56
255570,14-Dec-09,48,0,30.1,4.9,NA
255635,15-Dec-09,52,T,29.99,5,NA
255660,16-Dec-09,43,0,30.23,9,31
255684,17-Dec-09,39,0,30.33,7.4,25
255719,18-Dec-09,46,0.76,30.09,10.3,40
255769,19-Dec-09,46,0.08,29.38,18.3,44
255798,20-Dec-09,36,0,29.88,12.9,28
255823,21-Dec-09,37,0,30.11,7,26
255848,22-Dec-09,36,0,30.21,4,31
255873,23-Dec-09,37,0,30.25,4.4,35
255898,24-Dec-09,42,0,30.27,8,37
255925,25-Dec-09,54,0.33,30.1,18.4,51
255999,26-Dec-09,54,1.62,29.88,11.6,52
256025,27-Dec-09,48,0,30,6.2,40
256050,28-Dec-09,46,T,29.86,13.7,33
256075,29-Dec-09,38,0,30.14,11.8,21
256100,30-Dec-09,40,0,30.44,6.7,30
256161,31-Dec-09,51,0.83,30.13,6,51
256207,1-Jan-10,48,0.04,29.89,6.7,42
256234,2-Jan-10,33,0,29.89,15.6,17
256259,3-Jan-10,26,0,29.93,16,11
256284,4-Jan-10,28,0,29.92,10.3,16
256309,5-Jan-10,30,0,29.91,9.7,18
256334,6-Jan-10,32,0,29.95,10.4,21
256359,7-Jan-10,34,0,30.04,6.7,25
256386,8-Jan-10,34,0.05,29.92,11.6,26
256411,9-Jan-10,28,0,30.12,6.9,18
256436,10-Jan-10,30,0,30.22,9.6,17
256461,11-Jan-10,32,0,30.26,6.2,20
256486,12-Jan-10,34,0,30.13,5.8,27
256511,13-Jan-10,30,0,30.28,5,23
256536,14-Jan-10,38,0,30.3,4.1,29
256561,15-Jan-10,43,0,30.27,6,34
256586,16-Jan-10,42,0.01,30.25,3.3,34
256666,17-Jan-10,54,1.5,29.83,13.5,55
256702,18-Jan-10,44,T,29.79,5.4,42
256727,19-Jan-10,46,0,29.98,5.7,45
256753,20-Jan-10,50,0,29.92,6.4,44
256822,21-Jan-10,50,,29.96,11.5,46
256888,22-Jan-10,48,0.5,29.67,9.5,44
256916,23-Jan-10,43,0,30.09,8.8,39
256947,24-Jan-10,51,0.05,30.04,11.8,49
257006,25-Jan-10,55,1.24,29.62,19.7,53
257031,26-Jan-10,47,0,29.82,10.4,34
257056,27-Jan-10,40,0,30.16,7.6,28
257081,28-Jan-10,44,0,30.18,10.6,37
257106,29-Jan-10,39,T,30.24,13.5,25
257170,30-Jan-10,42,1.31,29.94,13.3,37
257198,31-Jan-10,30,T,30.06,8.6,24
257223,1-Feb-10,34,0,30.32,4.6,25
257250,2-Feb-10,39,0.65,30.11,7.3,39
257292,3-Feb-10,44,T,30,7.2,38
257317,4-Feb-10,38,0,30.34,8.1,30
257354,5-Feb-10,46,0.94,30.1,14,41
257397,6-Feb-10,44,0.73,29.42,16.1,37
257425,7-Feb-10,33,0,29.92,7.6,24
257450,8-Feb-10,32,0,30.12,3.9,24
257499,9-Feb-10,38,1.24,30.03,6.7,34
257548,10-Feb-10,40,0.01,29.48,19.4,28
257573,11-Feb-10,38,0,29.75,12.5,27
257603,12-Feb-10,34,0.02,29.91,7.6,27
257662,13-Feb-10,32,0.37,29.66,12.9,29
257687,14-Feb-10,34,0,29.88,10.3,22
257712,15-Feb-10,45,0.02,29.86,8.9,38
257737,16-Feb-10,37,0,29.74,12.6,24
257762,17-Feb-10,35,0,29.79,10.2,21
257787,18-Feb-10,38,0,29.84,11,28
257812,19-Feb-10,42,0,30.01,8.3,30
257837,20-Feb-10,42,0,30.11,5.9,29
257862,21-Feb-10,46,0,30.09,5.1,34
257913,22-Feb-10,48,1,29.87,5.8,48
257961,23-Feb-10,48,0,29.68,7.1,45
257993,24-Feb-10,46,0.14,29.78,7.9,39
258024,25-Feb-10,38,0.1,29.62,12.9,32
258049,26-Feb-10,38,0,29.66,17.8,24
258074,27-Feb-10,40,0,29.7,6.9,28
258099,28-Feb-10,40,0,29.7,8.4,31
258124,1-Mar-10,44,0,29.93,8.7,32
258166,2-Mar-10,44,1.24,29.76,11.1,40
258205,3-Mar-10,42,0.05,29.42,14.2,37
258237,4-Mar-10,38,0,29.77,7.6,32
258262,5-Mar-10,38,0,29.97,8.1,28
258287,6-Mar-10,38,0,30.12,8.2,30
258312,7-Mar-10,40,0,30.16,5.5,34
258337,8-Mar-10,42,0,30.02,4.6,35
258362,9-Mar-10,46,0,30.02,4.1,38
258387,10-Mar-10,54,T,30,5.9,49
258426,11-Mar-10,56,0.41,29.97,6.1,54
258527,12-Mar-10,56,1.84,29.72,13.4,55
258599,13-Mar-10,54,0.23,29.44,10.3,52
258628,14-Mar-10,53,T,29.5,10.3,46
258663,15-Mar-10,51,0.01,29.61,8.1,45
258700,16-Mar-10,46,T,29.88,10.9,37
258725,17-Mar-10,50,0,30.01,7.2,39
258750,18-Mar-10,52,0.01,29.81,8.2,45
258775,19-Mar-10,52,0,29.87,4.8,40
258800,20-Mar-10,51,0,30.08,3.8,47
258827,21-Mar-10,56,0.04,30.11,5.8,52
258864,22-Mar-10,57,0.07,29.86,14.4,53
258889,23-Mar-10,51,T,29.75,15.2,42
258914,24-Mar-10,57,0,29.99,8.1,47
258939,25-Mar-10,62,0,30.03,11,55
258982,26-Mar-10,56,0.59,29.69,14.9,53
259013,27-Mar-10,46,0,30.2,13.1,37
259038,28-Mar-10,54,T,30.14,11.2,48
259111,29-Mar-10,57,2.61,29.68,13.5,57
259154,30-Mar-10,58,0.01,29.64,10.1,50
259179,31-Mar-10,57,0,29.87,8.2,42
259209,1-Apr-10,56,0,30.07,4.4,46
259244,2-Apr-10,56,0,30.13,5.6,49
259284,3-Apr-10,57,0,30.14,4.7,54
259328,4-Apr-10,60,0,30.14,5.3,59
259355,5-Apr-10,63,0,30.15,9.3,61
259387,6-Apr-10,66,0,30.06,13.2,62
259414,7-Apr-10,65,0,29.99,16.5,61
259447,8-Apr-10,67,0,29.91,13.8,63
259511,9-Apr-10,60,1.54,29.83,9.8,54
259536,10-Apr-10,58,0,30.26,6.8,38
259561,11-Apr-10,56,0,30.33,4.3,44
259588,12-Apr-10,62,0,30.27,4.4,53
259613,13-Apr-10,64,T,30.31,4.5,56
259642,14-Apr-10,56,0.02,30.42,12.1,47
259667,15-Apr-10,56,0,30.34,6.1,42
259692,16-Apr-10,63,0,30.07,13.2,57
259718,17-Apr-10,63,0,29.81,12.7,59
259743,18-Apr-10,52,0,29.95,9,38
259768,19-Apr-10,53,0,30.03,5.8,42
259793,20-Apr-10,54,0,30,4.6,45
259824,21-Apr-10,56,0.24,29.84,3.8,50
259860,22-Apr-10,58,0,29.79,6.9,55
259885,23-Apr-10,64,0,29.91,6.4,56
259916,24-Apr-10,62,0.01,30.01,10.6,56
259960,25-Apr-10,62,0.12,29.69,12.1,62
260006,26-Apr-10,63,0,29.35,13.5,61
260031,27-Apr-10,62,0,29.43,11.7,52
260056,28-Apr-10,56,0.09,29.73,8.7,40
260081,29-Apr-10,53,0,30.01,7.3,47
260106,30-Apr-10,65,0,30.01,11.5,58
260139,1-May-10,68,0,29.99,12.1,65
260181,2-May-10,69,0,30.03,13.4,67
260225,3-May-10,70,0,29.98,15.3,67
260310,4-May-10,69,0.28,29.92,8.6,69
260368,5-May-10,70,0,29.97,5.3,67
260400,6-May-10,72,0,29.91,8.1,68
260433,7-May-10,72,0,29.95,9.1,61
260459,8-May-10,72,T,29.79,14.6,64
260484,9-May-10,61,0,30.05,6.8,40
260509,10-May-10,56,0,30.28,8.1,41
260540,11-May-10,58,T,30.36,8,46
260565,12-May-10,68,0,30.19,12.2,63
260609,13-May-10,65,1.07,30.23,7.5,62
260637,14-May-10,68,0,30.24,8.4,65
260662,15-May-10,70,0,30.14,9.5,66
260704,16-May-10,72,0,30.07,6.6,65
260741,17-May-10,70,T,30.04,7.6,64
260807,18-May-10,68,0.6,29.85,9.4,65
260851,19-May-10,62,0.16,29.91,5.3,60
260876,20-May-10,65,0,30,4.7,58
260901,21-May-10,64,0,30.12,6,58
260926,22-May-10,72,T,30.1,5.9,65
260954,23-May-10,71,0,30.06,4.6,67
260987,24-May-10,72,0.9,30.08,9.1,67
261029,25-May-10,70,0.03,30.03,10.9,66
261078,26-May-10,70,0.06,29.85,9.6,66
261107,27-May-10,72,0,29.75,4.7,65
261151,28-May-10,73,0,29.87,11.4,65
261176,29-May-10,73,T,29.98,7.8,64
261201,30-May-10,74,0,30.01,10,68
261227,31-May-10,75,0,30.08,8.5,70
261254,1-Jun-10,74,0,30.01,6.7,70
261302,2-Jun-10,74,0,29.9,7.2,72
261343,3-Jun-10,74,0,29.84,9.2,71
261377,4-Jun-10,74,0,29.89,8.1,71
261412,5-Jun-10,75,0,29.88,8.4,72
261438,6-Jun-10,76,0,29.75,12.9,72
261477,7-Jun-10,70,0.27,29.84,6.7,63
261506,8-Jun-10,69,0.34,30.06,5,61
261531,9-Jun-10,72,0,30.09,10.8,65
261556,10-Jun-10,78,0.01,29.93,11.5,72
261599,11-Jun-10,76,0,30.03,5.8,71
261624,12-Jun-10,76,0,30.12,6.7,69
261650,13-Jun-10,78,T,29.94,10.4,75
261685,14-Jun-10,80,0,29.87,6.2,74
261712,15-Jun-10,80,0,29.96,6.6,75
261741,16-Jun-10,80,0.01,30.06,6.2,75
261768,17-Jun-10,82,0.04,29.94,7.1,75
261795,18-Jun-10,79,0,30.04,7.9,69
261822,19-Jun-10,80,0,30.07,6.3,74
261853,20-Jun-10,81,0.01,29.98,7.9,76
261880,21-Jun-10,81,0,30.02,6.5,78
261905,22-Jun-10,82,0,30.09,8.2,78
261930,23-Jun-10,81,0,30.04,9.1,77
261955,24-Jun-10,82,0,29.96,11,77
261987,25-Jun-10,80,T,29.98,8.4,76
262026,26-Jun-10,80,0.01,29.95,7,76
262055,27-Jun-10,80,0,29.86,9.6,77
262083,28-Jun-10,78,0.04,29.83,11.9,75
262113,29-Jun-10,78,0.01,29.93,8.7,74
262160,30-Jun-10,78,1.5,30.03,4.8,73
262193,1-Jul-10,72,0.37,30.11,7.1,65
262218,2-Jul-10,72,0,30.18,8.4,55
262243,3-Jul-10,70,0,30.17,5.8,58
